"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2022","24,850.0","24,650.0","25,250.0","24,500.0","21.59M","1.02%"
"Jul 24, 2022","24,600.0","24,200.0","24,700.0","23,900.0","11.39M","1.03%"
"Jul 17, 2022","24,350.0","24,100.0","24,900.0","23,800.0","13.32M","1.46%"
"Jul 10, 2022","24,000.0","23,850.0","24,450.0","23,500.0","8.56M","0.00%"
"Jul 03, 2022","24,000.0","24,400.0","24,600.0","23,600.0","11.35M","-0.21%"
"Jun 26, 2022","24,050.0","23,800.0","24,800.0","23,500.0","11.34M","1.05%"
"Jun 19, 2022","23,800.0","23,100.0","24,000.0","22,500.0","12.89M","3.03%"
"Jun 12, 2022","23,100.0","25,000.0","25,000.0","22,850.0","14.60M","-8.33%"
"Jun 05, 2022","25,200.0","25,300.0","25,900.0","24,300.0","14.12M","-0.40%"
"May 29, 2022","25,300.0","25,600.0","25,950.0","24,880.0","15.30M","-0.55%"
"May 22, 2022","25,440.0","23,280.0","25,440.0","22,520.0","17.72M","9.47%"
"May 15, 2022","23,240.0","22,120.0","23,800.0","22,000.0","18.84M","5.64%"
"May 08, 2022","22,000.0","24,800.0","25,280.0","22,000.0","25.77M","-11.29%"
"May 01, 2022","24,800.0","25,800.0","26,000.0","24,680.0","8.99M","-5.20%"
"Apr 24, 2022","26,160.0","25,840.0","26,160.0","24,000.0","29.16M","1.24%"
"Apr 17, 2022","25,840.0","26,800.0","26,880.0","25,200.0","33.46M","-3.73%"
"Apr 10, 2022","26,840.0","27,080.0","27,320.0","26,640.0","25.33M","-0.89%"
"Apr 03, 2022","27,080.0","26,880.0","27,320.0","26,200.0","40.02M","1.35%"
"Mar 27, 2022","26,720.0","26,160.0","26,720.0","25,840.0","30.11M","2.14%"
"Mar 20, 2022","26,160.0","26,320.0","26,720.0","26,160.0","18.62M","-0.30%"
"Mar 13, 2022","26,240.0","26,000.0","26,560.0","25,960.0","17.48M","0.31%"
"Mar 06, 2022","26,160.0","26,800.0","27,040.0","25,920.0","26.25M","-4.66%"
"Feb 27, 2022","27,440.0","27,440.0","27,480.0","26,320.0","48.05M","-0.15%"
"Feb 20, 2022","27,480.0","27,120.0","28,080.0","26,760.0","44.55M","1.48%"
"Feb 13, 2022","27,080.0","28,320.0","28,480.0","26,960.0","45.15M","-5.18%"
"Feb 06, 2022","28,560.0","28,000.0","29,080.0","27,720.0","80.46M","3.33%"
