Date,Price
03/07/2011,4553.1
10/07/2011,4553.1
17/07/2011,4553.1
24/07/2011,4553.1
31/07/2011,4531.5
07/08/2011,4509.8
14/08/2011,4509.8
21/08/2011,4531.5
28/08/2011,4900.1
04/09/2011,4921.7
11/09/2011,4661.6
18/09/2011,4661.6
25/09/2011,4683.2
02/10/2011,4813.3
09/10/2011,4661.6
16/10/2011,4661.6
23/10/2011,4683.2
30/10/2011,4401.4
06/11/2011,4358
13/11/2011,4379.7
20/11/2011,4336.3
27/11/2011,4271.3
04/12/2011,4466.4
11/12/2011,4423.1
18/12/2011,4596.5
25/12/2011,4704.9
01/01/2012,4681
08/01/2012,4681
15/01/2012,4896
29/01/2012,5110.9
05/02/2012,5540.8
12/02/2012,5158.7
19/02/2012,5469.2
26/02/2012,6233.4
04/03/2012,5875.2
11/03/2012,6042.4
18/03/2012,6114
25/03/2012,5875.2
01/04/2012,6042.4
08/04/2012,6281.2
15/04/2012,6090.1
22/04/2012,6137.9
29/04/2012,6090.1
06/05/2012,6114
13/05/2012,6042.4
20/05/2012,6185.7
27/05/2012,6161.8
03/06/2012,6114
10/06/2012,6114
17/06/2012,6137.9
24/06/2012,6137.9
01/07/2012,6137.9
08/07/2012,6090.1
15/07/2012,6137.9
22/07/2012,6137.9
29/07/2012,6137.9
05/08/2012,6137.9
12/08/2012,6161.8
19/08/2012,5206.5
26/08/2012,4728.8
02/09/2012,4609.4
09/09/2012,4322.8
16/09/2012,3916.8
23/09/2012,3916.8
30/09/2012,3773.5
07/10/2012,3845.1
14/10/2012,3749.6
21/10/2012,3773.5
28/10/2012,3463
04/11/2012,3558.5
11/11/2012,3558.5
18/11/2012,3463
25/11/2012,3463
02/12/2012,3534.7
09/12/2012,4036.2
16/12/2012,3845.1
23/12/2012,3940.7
30/12/2012,4107.8
06/01/2013,4346.7
13/01/2013,4251.1
20/01/2013,4203.4
27/01/2013,4227.3
03/02/2013,4275
17/02/2013,4012.3
24/02/2013,3988.4
03/03/2013,3940.7
10/03/2013,3964.6
17/03/2013,3940.7
24/03/2013,3916.8
31/03/2013,3869
07/04/2013,3940.7
14/04/2013,3773.5
21/04/2013,3821.3
28/04/2013,3845.1
05/05/2013,3916.8
12/05/2013,4009.6
19/05/2013,4134.1
26/05/2013,4109.2
02/06/2013,4183.9
09/06/2013,4084.3
16/06/2013,4034.5
23/06/2013,4009.6
30/06/2013,3984.7
07/07/2013,3984.7
14/07/2013,3984.7
21/07/2013,3959.8
28/07/2013,3910
04/08/2013,3860.2
11/08/2013,3860.2
18/08/2013,3860.2
25/08/2013,3835.3
01/09/2013,3835.3
08/09/2013,3835.3
15/09/2013,3860.2
22/09/2013,3860.2
29/09/2013,3885.1
06/10/2013,3910
13/10/2013,3910
20/10/2013,3885.1
27/10/2013,3910
03/11/2013,3860.2
10/11/2013,3885.1
17/11/2013,3910
24/11/2013,3885.1
01/12/2013,3885.1
08/12/2013,3885.1
15/12/2013,3885.1
22/12/2013,3910
29/12/2013,3934.9
05/01/2014,3984.7
12/01/2014,4109.2
19/01/2014,4034.5
26/01/2014,4034.5
02/02/2014,4034.5
09/02/2014,4109.2
16/02/2014,4009.6
23/02/2014,4258.6
02/03/2014,4134.1
09/03/2014,4109.2
16/03/2014,4308.5
23/03/2014,4258.6
30/03/2014,4258.6
06/04/2014,4208.8
13/04/2014,4159
20/04/2014,4109.2
27/04/2014,4084.3
04/05/2014,4009.6
11/05/2014,4015.5
18/05/2014,4041.5
25/05/2014,4093.7
01/06/2014,4067.6
08/06/2014,4041.5
15/06/2014,4041.5
22/06/2014,4041.5
29/06/2014,4041.5
06/07/2014,4015.5
13/07/2014,4041.5
20/07/2014,3989.4
27/07/2014,4015.5
03/08/2014,4015.5
10/08/2014,3989.4
17/08/2014,3989.4
24/08/2014,4041.5
31/08/2014,4015.5
07/09/2014,3963.3
14/09/2014,3963.3
21/09/2014,3963.3
28/09/2014,3937.2
05/10/2014,3937.2
12/10/2014,3963.3
19/10/2014,3937.2
26/10/2014,3989.4
02/11/2014,4067.6
09/11/2014,4093.7
16/11/2014,4015.5
23/11/2014,3963.3
30/11/2014,4067.6
07/12/2014,4041.5
14/12/2014,4015.5
21/12/2014,4015.5
28/12/2014,4015.5
04/01/2015,4145.8
11/01/2015,4145.8
18/01/2015,4458.7
25/01/2015,4484.8
01/02/2015,4276.2
08/02/2015,4380.5
22/02/2015,4432.6
01/03/2015,4432.6
08/03/2015,4406.6
15/03/2015,4458.7
22/03/2015,4380.5
29/03/2015,4380.5
05/04/2015,4328.3
12/04/2015,4328.3
19/04/2015,4250.1
26/04/2015,4380.5
03/05/2015,4302.3
10/05/2015,4381.6
17/05/2015,4381.6
24/05/2015,5252.5
31/05/2015,5878.5
07/06/2015,5796.8
14/06/2015,5905.7
21/06/2015,5715.2
28/06/2015,6069
05/07/2015,6177.8
12/07/2015,5987.3
19/07/2015,5960.1
26/07/2015,5878.5
02/08/2015,5579.1
09/08/2015,5388.6
16/08/2015,5143.7
23/08/2015,5116.4
30/08/2015,4871.5
06/09/2015,5170.9
13/09/2015,5252.5
20/09/2015,5361.4
27/09/2015,5306.9
04/10/2015,5606.3
11/10/2015,5633.5
18/10/2015,5660.7
25/10/2015,5660.7
01/11/2015,5606.3
08/11/2015,5579.1
15/11/2015,5443
22/11/2015,5279.7
29/11/2015,5279.7
06/12/2015,5279.7
13/12/2015,5225.3
20/12/2015,5225.3
27/12/2015,5388.6
03/01/2016,5198.1
10/01/2016,5198.1
17/01/2016,5062
24/01/2016,5170.9
31/01/2016,5198.1
14/02/2016,5225.3
21/02/2016,5415.8
28/02/2016,5361.4
06/03/2016,5279.7
13/03/2016,5198.1
20/03/2016,5062
27/03/2016,4980.4
03/04/2016,5034.8
10/04/2016,4871.5
17/04/2016,4953.2
24/04/2016,4871.5
01/05/2016,4844.3
08/05/2016,5089.2
15/05/2016,5198.1
22/05/2016,5034.8
29/05/2016,5034.8
05/06/2016,5170.9
12/06/2016,5198.1
19/06/2016,5225.3
26/06/2016,5170.9
03/07/2016,5089.2
10/07/2016,5170.9
17/07/2016,4925.9
24/07/2016,4925.9
31/07/2016,4789.9
07/08/2016,4817.1
14/08/2016,4789.9
21/08/2016,4871.5
28/08/2016,4871.5
04/09/2016,4817.1
11/09/2016,4708.2
18/09/2016,4735.4
25/09/2016,4980.4
02/10/2016,5170.9
09/10/2016,5252.5
16/10/2016,5279.7
23/10/2016,5279.7
30/10/2016,5170.9
06/11/2016,5198.1
13/11/2016,5143.7
20/11/2016,5279.7
27/11/2016,5298.8
04/12/2016,5119.2
11/12/2016,5149.1
18/12/2016,5179
25/12/2016,5268.8
01/01/2017,6017.3
08/01/2017,6436.4
15/01/2017,6915.4
22/01/2017,7065
29/01/2017,7244.7
05/02/2017,7154.9
12/02/2017,6795.6
19/02/2017,6795.6
26/02/2017,6825.6
05/03/2017,7095
12/03/2017,7005.2
19/03/2017,7633.8
26/03/2017,7334.5
02/04/2017,7424.3
09/04/2017,6855.5
16/04/2017,6795.6
23/04/2017,6945.3
30/04/2017,7035.1
07/05/2017,7065
14/05/2017,7394.3
21/05/2017,7484.2
28/05/2017,7394.3
04/06/2017,7843.4
11/06/2017,7903.3
18/06/2017,7693.7
25/06/2017,7753.6
02/07/2017,7933.2
09/07/2017,7723.7
16/07/2017,7484.2
23/07/2017,7723.7
30/07/2017,7723.7
06/08/2017,7603.9
