"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2022","30,400.0","30,500.0","31,150.0","29,900.0","1.25M","1.33%"
"Jul 24, 2022","30,000.0","30,800.0","30,900.0","29,750.0","1.21M","-2.60%"
"Jul 17, 2022","30,800.0","30,700.0","31,000.0","30,450.0","738.80K","-0.48%"
"Jul 10, 2022","30,950.0","31,200.0","31,400.0","30,500.0","768.70K","-0.64%"
"Jul 03, 2022","31,150.0","32,750.0","32,750.0","30,250.0","882.80K","-3.86%"
"Jun 26, 2022","32,400.0","31,750.0","33,550.0","31,000.0","1.71M","3.02%"
"Jun 19, 2022","31,450.0","32,000.0","32,550.0","30,700.0","1.41M","0.32%"
"Jun 12, 2022","31,350.0","30,600.0","31,500.0","30,000.0","2.43M","3.13%"
"Jun 05, 2022","30,400.0","30,700.0","31,600.0","30,100.0","935.20K","-3.49%"
"May 29, 2022","31,500.0","35,000.0","35,000.0","31,050.0","469.70K","-7.62%"
"May 22, 2022","34,100.0","30,900.0","34,550.0","29,750.0","1.35M","10.36%"
"May 15, 2022","30,900.0","31,300.0","32,500.0","28,950.0","762.70K","-1.28%"
"May 08, 2022","31,300.0","28,900.0","32,450.0","27,550.0","1.27M","5.74%"
"May 01, 2022","29,600.0","30,500.0","30,500.0","29,300.0","321.10K","-1.33%"
"Apr 24, 2022","30,000.0","31,350.0","31,750.0","28,550.0","870.70K","-5.66%"
"Apr 17, 2022","31,800.0","32,350.0","33,200.0","30,400.0","1.23M","-4.50%"
"Apr 10, 2022","33,300.0","35,000.0","35,100.0","33,200.0","1.01M","-5.13%"
"Apr 03, 2022","35,100.0","37,600.0","37,600.0","34,900.0","1.94M","-5.65%"
"Mar 27, 2022","37,200.0","36,900.0","37,500.0","36,200.0","5.01M","1.09%"
"Mar 20, 2022","36,800.0","36,300.0","37,500.0","35,650.0","2.63M","2.22%"
"Mar 13, 2022","36,000.0","34,950.0","37,600.0","34,900.0","3.10M","1.69%"
"Mar 06, 2022","35,400.0","31,800.0","35,500.0","31,700.0","2.98M","12.38%"
"Feb 27, 2022","31,500.0","35,500.0","35,500.0","31,500.0","3.97M","-9.74%"
"Feb 20, 2022","34,900.0","35,900.0","36,000.0","33,000.0","2.87M","-2.92%"
"Feb 13, 2022","35,950.0","35,800.0","37,800.0","35,050.0","5.35M","0.42%"
"Feb 06, 2022","35,800.0","37,700.0","37,700.0","34,100.0","5.57M","-4.41%"
"Jan 23, 2022","37,450.0","33,000.0","37,750.0","32,950.0","5.29M","12.13%"
"Jan 16, 2022","33,400.0","33,800.0","33,950.0","31,200.0","2.05M","-1.33%"
"Jan 09, 2022","33,850.0","33,500.0","35,350.0","32,050.0","4.87M","1.35%"
"Jan 02, 2022","33,400.0","33,500.0","34,900.0","33,300.0","4.83M","-0.89%"
"Dec 26, 2021","33,700.0","31,200.0","37,500.0","31,200.0","9.10M","8.01%"
"Dec 19, 2021","31,200.0","26,000.0","31,200.0","26,000.0","9.14M","20.00%"
"Dec 12, 2021","26,000.0","26,800.0","27,150.0","25,750.0","2.61M","-2.99%"
"Dec 05, 2021","26,800.0","26,600.0","27,800.0","25,150.0","2.63M","-0.74%"
"Nov 28, 2021","27,000.0","28,700.0","29,000.0","26,600.0","2.57M","-6.25%"
"Nov 21, 2021","28,800.0","28,850.0","30,150.0","27,000.0","6.35M","3.60%"
"Nov 14, 2021","27,800.0","29,300.0","29,300.0","26,800.0","3.64M","-1.42%"
"Nov 07, 2021","28,200.0","24,500.0","28,200.0","24,500.0","4.64M","11.46%"
"Oct 31, 2021","25,300.0","23,050.0","26,250.0","23,000.0","3.87M","12.44%"
"Oct 24, 2021","22,500.0","23,400.0","23,900.0","22,500.0","1.67M","-3.85%"
"Oct 17, 2021","23,400.0","23,500.0","23,750.0","23,000.0","1.07M","0.43%"
"Oct 10, 2021","23,300.0","22,450.0","23,800.0","22,450.0","1.28M","4.02%"
"Oct 03, 2021","22,400.0","22,550.0","22,750.0","21,900.0","1.91M","-1.97%"
"Sep 26, 2021","22,850.0","24,400.0","24,400.0","22,150.0","1.05M","-4.99%"
"Sep 19, 2021","24,050.0","25,900.0","26,000.0","24,000.0","3.46M","-7.50%"
"Sep 12, 2021","26,000.0","25,800.0","26,000.0","25,100.0","1.81M","0.78%"
"Sep 05, 2021","25,800.0","25,250.0","26,350.0","24,600.0","2.40M","2.99%"
"Aug 29, 2021","25,050.0","24,650.0","26,000.0","24,450.0","2.42M","1.83%"
"Aug 22, 2021","24,600.0","24,500.0","25,200.0","23,900.0","1.45M","-1.20%"
"Aug 15, 2021","24,900.0","26,600.0","26,850.0","24,700.0","2.45M","-5.32%"
"Aug 08, 2021","26,300.0","26,950.0","27,200.0","26,100.0","2.00M","-2.41%"
"Aug 01, 2021","26,950.0","26,400.0","27,800.0","25,800.0","3.15M","2.08%"
"Jul 25, 2021","26,400.0","26,000.0","26,500.0","24,700.0","2.82M","1.54%"
"Jul 18, 2021","26,000.0","26,850.0","27,000.0","25,000.0","1.97M","-3.70%"
"Jul 11, 2021","27,000.0","28,000.0","29,900.0","26,150.0","2.34M","-6.57%"
"Jul 04, 2021","28,900.0","31,100.0","32,200.0","28,000.0","3.15M","-7.81%"
"Jun 27, 2021","31,350.0","29,500.0","31,400.0","29,300.0","3.86M","7.18%"
"Jun 20, 2021","29,250.0","29,900.0","29,900.0","28,500.0","1.81M","-1.85%"
"Jun 13, 2021","29,800.0","31,000.0","31,000.0","28,350.0","3.08M","-1.97%"
"Jun 06, 2021","30,400.0","33,300.0","33,300.0","29,100.0","4.77M","-8.98%"
"May 30, 2021","33,400.0","31,300.0","33,500.0","30,400.0","6.62M","4.70%"
"May 23, 2021","31,900.0","26,050.0","32,100.0","25,100.0","8.48M","22.46%"
"May 16, 2021","26,050.0","27,800.0","27,800.0","25,700.0","4.05M","-4.58%"
"May 09, 2021","27,300.0","25,000.0","27,500.0","24,700.0","4.27M","6.23%"
"May 02, 2021","25,700.0","26,500.0","26,900.0","25,400.0","4.14M","-6.38%"
"Apr 25, 2021","27,450.0","26,800.0","27,500.0","25,300.0","6.73M","1.86%"
"Apr 18, 2021","26,950.0","26,300.0","28,250.0","24,650.0","6.70M","2.86%"
"Apr 11, 2021","26,200.0","22,500.0","26,700.0","22,450.0","7.87M","16.70%"
"Apr 04, 2021","22,450.0","21,000.0","23,200.0","21,000.0","7.34M","10.05%"
"Mar 28, 2021","20,400.0","19,000.0","20,850.0","18,550.0","6.43M","7.37%"
"Mar 21, 2021","19,000.0","19,900.0","19,900.0","18,150.0","2.52M","-3.55%"
"Mar 14, 2021","19,700.0","18,500.0","19,800.0","18,100.0","3.05M","7.07%"
"Mar 07, 2021","18,400.0","18,500.0","18,550.0","18,050.0","1.57M","-0.54%"
"Feb 28, 2021","18,500.0","18,100.0","18,950.0","18,000.0","2.71M","2.21%"
"Feb 21, 2021","18,100.0","18,450.0","18,450.0","17,800.0","1.78M","-2.16%"
"Feb 14, 2021","18,500.0","17,800.0","18,500.0","17,550.0","1.27M","3.93%"
"Feb 07, 2021","17,800.0","17,850.0","17,900.0","17,300.0","725.20K","-0.56%"
"Jan 31, 2021","17,900.0","16,850.0","18,000.0","16,700.0","4.84M","6.23%"
"Jan 24, 2021","16,850.0","20,350.0","20,350.0","16,500.0","7.93M","-17.80%"
"Jan 17, 2021","20,500.0","22,000.0","22,000.0","18,800.0","2.79M","-6.82%"
"Jan 10, 2021","22,000.0","20,400.0","22,350.0","20,000.0","3.83M","7.84%"
"Jan 03, 2021","20,400.0","19,250.0","20,500.0","19,100.0","3.07M","5.97%"
"Dec 27, 2020","19,250.0","19,600.0","20,100.0","18,350.0","1.82M","0.79%"
"Dec 20, 2020","19,100.0","17,200.0","20,900.0","17,100.0","4.28M","11.05%"
"Dec 13, 2020","17,200.0","17,100.0","17,200.0","16,500.0","1.42M","0.58%"
"Dec 06, 2020","17,100.0","17,150.0","17,200.0","17,000.0","920.34K","0.29%"
"Nov 29, 2020","17,050.0","17,200.0","17,250.0","16,950.0","1.21M","-0.29%"
"Nov 22, 2020","17,100.0","17,100.0","17,300.0","16,950.0","1.70M","-0.87%"
"Nov 15, 2020","17,250.0","17,150.0","17,300.0","16,900.0","2.25M","0.29%"
"Nov 08, 2020","17,200.0","17,050.0","17,400.0","17,050.0","925.87K","-0.58%"
"Nov 01, 2020","17,300.0","17,050.0","17,400.0","16,950.0","1.02M","0.58%"
"Oct 25, 2020","17,200.0","17,500.0","17,600.0","16,900.0","1.94M","-1.71%"
"Oct 18, 2020","17,500.0","17,300.0","17,600.0","17,100.0","1.62M","0.86%"
"Oct 11, 2020","17,350.0","17,200.0","17,600.0","17,100.0","2.34M","1.17%"
"Oct 04, 2020","17,150.0","17,200.0","17,850.0","16,850.0","2.50M","0.88%"
"Sep 27, 2020","17,000.0","17,050.0","17,350.0","16,850.0","976.97K","-0.58%"
"Sep 20, 2020","17,100.0","16,950.0","17,200.0","16,800.0","1.57M","0.59%"
