Date,Price
03/07/2011,12564
10/07/2011,12564
17/07/2011,12991
24/07/2011,12735
31/07/2011,12821
07/08/2011,12821
14/08/2011,12735
21/08/2011,12735
28/08/2011,13590
04/09/2011,13504
11/09/2011,13333
18/09/2011,13675
25/09/2011,13675
02/10/2011,13675
09/10/2011,13248
16/10/2011,11795
23/10/2011,12564
30/10/2011,12479
06/11/2011,12308
13/11/2011,12479
20/11/2011,13077
27/11/2011,12900
04/12/2011,13100
11/12/2011,13500
18/12/2011,13900
25/12/2011,14300
01/01/2012,14400
08/01/2012,13900
15/01/2012,14000
29/01/2012,15800
05/02/2012,16000
12/02/2012,15900
19/02/2012,16800
26/02/2012,19500
04/03/2012,17100
11/03/2012,17400
18/03/2012,17700
25/03/2012,17300
01/04/2012,18000
08/04/2012,18200
15/04/2012,18200
22/04/2012,18300
29/04/2012,18300
06/05/2012,18400
13/05/2012,17700
20/05/2012,18100
27/05/2012,17900
03/06/2012,18100
10/06/2012,18300
17/06/2012,18300
24/06/2012,19000
01/07/2012,18600
08/07/2012,18600
15/07/2012,18800
22/07/2012,18700
29/07/2012,18900
05/08/2012,19200
12/08/2012,20400
19/08/2012,17700
26/08/2012,16100
02/09/2012,15300
09/09/2012,14700
16/09/2012,13900
23/09/2012,14400
30/09/2012,14400
07/10/2012,15100
14/10/2012,16300
21/10/2012,15300
28/10/2012,14600
04/11/2012,14800
11/11/2012,14500
18/11/2012,14300
25/11/2012,14300
02/12/2012,14200
09/12/2012,14700
16/12/2012,14900
23/12/2012,15700
30/12/2012,15900
06/01/2013,15400
13/01/2013,15600
20/01/2013,15800
27/01/2013,16400
03/02/2013,16500
17/02/2013,15800
24/02/2013,15700
03/03/2013,15300
10/03/2013,15100
17/03/2013,14800
24/03/2013,14500
31/03/2013,14700
07/04/2013,14700
14/04/2013,14300
21/04/2013,14500
28/04/2013,14600
05/05/2013,14900
12/05/2013,14700
19/05/2013,14900
26/05/2013,14900
02/06/2013,15700
09/06/2013,14700
16/06/2013,14900
23/06/2013,15100
30/06/2013,14700
07/07/2013,14700
14/07/2013,14700
21/07/2013,14400
28/07/2013,14500
